,ClassName,FileName,Unnamed: 0,XMax,XMin,YMax,YMin
0,Person,cbbb72b6d1978ac8.jpg,2575.0,0.999302,0.059358,0.9975,0.0
1,Truck,d44e0ddd8011a70d.jpg,405.0,0.913125,0.191875,0.72045,0.356473
2,Person,fbe0cad2b6b5a91c.jpg,2455.0,0.921094,0.811719,0.795294,0.343529
3,Person,fbe0cad2b6b5a91c.jpg,2456.0,0.721094,0.614062,0.7870590000000001,0.367059
4,Person,fbe0cad2b6b5a91c.jpg,2457.0,0.80625,0.695312,0.737647,0.367059
5,Car,045a25ad9686f811.jpg,550.0,0.815625,0.058125,0.951219,0.196998
6,Truck,8bba4c835ffba3cb.jpg,454.0,0.922852,0.0,0.940104,0.048177
7,Truck,93e056f2d16b6da0.jpg,1193.0,0.823125,0.064375,0.7579739999999999,0.309568
8,Car,b7b1f1ace0f48795.jpg,223.0,0.484158,0.134653,0.628125,0.49
9,Car,b7b1f1ace0f48795.jpg,224.0,0.99901,0.951485,0.6125,0.51875
10,Truck,00296b0c54457743.jpg,799.0,0.915625,0.001875,0.968333,0.233333
11,Truck,00296b0c54457743.jpg,800.0,0.999375,0.856875,0.844167,0.6533329999999999
12,Person,be79e8f02740c805.jpg,943.0,0.178125,0.001875,0.716667,0.071667
13,Person,81c806e55e02e549.jpg,2045.0,0.9925,0.023125,0.9803,0.026266
14,Car,84e68931d51a0bfa.jpg,1720.0,0.8681639999999999,0.226562,0.959004,0.128843
15,Car,84e68931d51a0bfa.jpg,1721.0,0.999023,0.875977,0.392387,0.194729
16,Car,728148aaf2b3db3b.jpg,1803.0,0.194375,0.12,0.314259,0.251407
17,Car,728148aaf2b3db3b.jpg,1804.0,0.3675,0.340625,0.302064,0.242964
18,Car,728148aaf2b3db3b.jpg,1805.0,0.51625,0.441875,0.312383,0.244841
19,Car,728148aaf2b3db3b.jpg,1806.0,0.99125,0.909375,0.336773,0.223265
20,Truck,98e015e70520ff48.jpg,448.0,0.915625,0.269375,0.8782690000000001,0.30207399999999995
21,Truck,25620e26353efb5e.jpg,783.0,0.985625,0.6275,0.750757,0.32997
